Composition,Type
Ce0.25Er0.25Eu0.25La0.25PO4,Quaternary
Ce0.25Eu0.25Gd0.25Nd0.25PO4,Quaternary
Ce0.25Gd0.25Sm0.25Tm0.25PO4,Quaternary
Gd0.25La0.25Nd0.25Sm0.25PO4,Quaternary
Eu0.25Gd0.25La0.25Nd0.25PO4,Quaternary
Ce0.25Eu0.25Gd0.25La0.25PO4,Quaternary
Ce0.25Eu0.25Gd0.25Sm0.25PO4,Quaternary
Ce0.25La0.25Nd0.25Sm0.25PO4,Quaternary
Eu0.25La0.25Nd0.25Y0.25PO4,Quaternary
Eu0.25La0.25Nd0.25Sm0.25PO4,Quaternary
Gd0.25Ho0.25La0.25Sm0.25PO4,Quaternary
Er0.25Eu0.25La0.25Nd0.25PO4,Quaternary
Ce0.25Er0.25La0.25Nd0.25PO4,Quaternary
Ce0.25Gd0.25La0.25Sm0.25PO4,Quaternary
Ce0.25Nd0.25Sm0.25Y0.25PO4,Quaternary
Ce0.25Nd0.25Sm0.25Yb0.25PO4,Quaternary
Ce0.25Eu0.25La0.25Nd0.25PO4,Quaternary
Eu0.25Nd0.25Sm0.25Y0.25PO4,Quaternary
Ce0.25Eu0.25Nd0.25Tm0.25PO4,Quaternary
Ce0.25Gd0.25La0.25Nd0.25PO4,Quaternary
Ce0.25La0.25Sc0.25Sm0.25PO4,Quaternary
Eu0.25Gd0.25Nd0.25Y0.25PO4,Quaternary
Ce0.25Gd0.25Lu0.25Nd0.25PO4,Quaternary
Eu0.25Gd0.25La0.25Sm0.25PO4,Quaternary
Ce0.25Gd0.25La0.25Lu0.25PO4,Quaternary
Ce0.25Ho0.25La0.25Nd0.25PO4,Quaternary
Ce0.25Gd0.25Nd0.25Sc0.25PO4,Quaternary
Eu0.25Gd0.25Nd0.25Sm0.25PO4,Quaternary
Eu0.25La0.25Sm0.25Tm0.25PO4,Quaternary
Er0.25Eu0.25Gd0.25Nd0.25PO4,Quaternary
Ce0.25Er0.25Gd0.25Nd0.25PO4,Quaternary
Ce0.25Gd0.25La0.25Tm0.25PO4,Quaternary
Ce0.25Eu0.25La0.25Sm0.25PO4,Quaternary
Ce0.25La0.25Nd0.25Y0.25PO4,Quaternary
Ce0.25Gd0.25Lu0.25Sm0.25PO4,Quaternary
Ce0.25Gd0.25Sm0.25Yb0.25PO4,Quaternary
Ce0.25Eu0.25La0.25Lu0.25PO4,Quaternary
Er0.25Eu0.25Gd0.25Sm0.25PO4,Quaternary
Ce0.25Er0.25Eu0.25Gd0.25PO4,Quaternary
Ce0.25Gd0.25Sm0.25Y0.25PO4,Quaternary
Ce0.25Gd0.25La0.25Y0.25PO4,Quaternary
Gd0.25La0.25Nd0.25Tm0.25PO4,Quaternary
Eu0.25Gd0.25La0.25Sc0.25PO4,Quaternary
Ce0.25La0.25Lu0.25Sm0.25PO4,Quaternary
Er0.25Eu0.25La0.25Sm0.25PO4,Quaternary
Er0.25Gd0.25La0.25Nd0.25PO4,Quaternary
Ce0.25Gd0.25Nd0.25Tm0.25PO4,Quaternary
Ce0.25La0.25Sm0.25Yb0.25PO4,Quaternary
Eu0.25Gd0.25Nd0.25Tm0.25PO4,Quaternary
Eu0.25Gd0.25Lu0.25Sm0.25PO4,Quaternary
Eu0.20Gd0.20La0.20Nd0.20Sm0.20PO4,Quinary
Ce0.20Eu0.20La0.20Nd0.20Sc0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20Sc0.20Tm0.20PO4,Quinary
Ce0.20Gd0.20La0.20Nd0.20Sm0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20La0.20Sm0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20La0.20Tm0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20Nd0.20Sm0.20PO4,Quinary
Ce0.20Ho0.20La0.20Sc0.20Sm0.20PO4,Quinary
Ce0.20Er0.20La0.20Nd0.20Sm0.20PO4,Quinary
La0.20Nd0.20Sc0.20Sm0.20Yb0.20PO4,Quinary
Gd0.20Ho0.20Nd0.20Sm0.20Y0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20La0.20Nd0.20PO4,Quinary
Ce0.20Eu0.20La0.20Nd0.20Sm0.20PO4,Quinary
Ce0.20Eu0.20La0.20Y0.20Yb0.20PO4,Quinary
Ce0.20Gd0.20Nd0.20Sc0.20Sm0.20PO4,Quinary
Ce0.20Eu0.20La0.20Nd0.20Yb0.20PO4,Quinary
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,Quinary
Ce0.20Gd0.20La0.20Nd0.20Tm0.20PO4,Quinary
La0.20Nd0.20Sm0.20Y0.20Yb0.20PO4,Quinary
Ce0.20Er0.20Eu0.20Gd0.20La0.20PO4,Quinary
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,Quinary
Ce0.20Eu0.20Nd0.20Sc0.20Sm0.20PO4,Quinary
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,Quinary
Gd0.20Ho0.20Nd0.20Sm0.20Yb0.20PO4,Quinary
Gd0.20La0.20Nd0.20Sm0.20Y0.20PO4,Quinary
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,Quinary
Eu0.20Ho0.20La0.20Nd0.20Sm0.20PO4,Quinary
Er0.20Eu0.20Gd0.20Ho0.20Nd0.20PO4,Quinary
Er0.20Eu0.20Gd0.20Sm0.20Y0.20PO4,Quinary
Ce0.20Er0.20Lu0.20Nd0.20Sm0.20PO4,Quinary
Ce0.20Gd0.20La0.20Sm0.20Y0.20PO4,Quinary
Er0.20Eu0.20Nd0.20Sm0.20Y0.20PO4,Quinary
Eu0.20Gd0.20La0.20Sc0.20Y0.20PO4,Quinary
Er0.20Eu0.20Gd0.20Nd0.20Y0.20PO4,Quinary
Ce0.20Eu0.20Ho0.20La0.20Nd0.20PO4,Quinary
Eu0.20La0.20Nd0.20Sm0.20Yb0.20PO4,Quinary
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,Quinary
Ce0.20Eu0.20Gd0.20Ho0.20Nd0.20PO4,Quinary
Eu0.20La0.20Nd0.20Sc0.20Sm0.20PO4,Quinary
Ce0.20Gd0.20La0.20Sm0.20Yb0.20PO4,Quinary
Ce0.20Ho0.20Lu0.20Nd0.20Sm0.20PO4,Quinary
Eu0.20Gd0.20La0.20Nd0.20Y0.20PO4,Quinary
Ce0.20Er0.20Eu0.20Gd0.20Sm0.20PO4,Quinary
Eu0.20Gd0.20Nd0.20Sc0.20Sm0.20PO4,Quinary
Ce0.20La0.20Nd0.20Sm0.20Yb0.20PO4,Quinary
